iso3,country_name,degree,degree_centrality,betweenness_centrality,closeness_centrality
ITA,Italy,15,1.0,0.8436507936507937,1.0
FRA,France,6,0.4,0.031746031746031744,0.625
ESP,Spain,5,0.3333333333333333,0.015079365079365078,0.6
DEU,Germany,4,0.26666666666666666,0.009523809523809525,0.5769230769230769
CHE,Switzerland,3,0.2,0.002380952380952381,0.5555555555555556
NLD,Netherlands,3,0.2,0.002380952380952381,0.5555555555555556
GBR,United Kingdom,3,0.2,0.0,0.5555555555555556
PRT,Portugal,3,0.2,0.0,0.5555555555555556
IRL,Ireland,1,0.06666666666666667,0.0,0.5172413793103449
AUT,Austria,1,0.06666666666666667,0.0,0.5172413793103449
USA,United States,1,0.06666666666666667,0.0,0.5172413793103449
JPN,Japan,1,0.06666666666666667,0.0,0.5172413793103449
SGP,Singapore,1,0.06666666666666667,0.0,0.5172413793103449
ZAF,South Africa,1,0.06666666666666667,0.0,0.5172413793103449
CHL,Chile,1,0.06666666666666667,0.0,0.5172413793103449
MEX,Mexico,1,0.06666666666666667,0.0,0.5172413793103449
