iso3,country_name,degree,degree_centrality,betweenness_centrality,closeness_centrality
FRA,France,119,0.6230366492146597,0.15687718709310183,0.7234848484848485
GBR,United Kingdom,118,0.6178010471204188,0.12523088772590546,0.7234848484848485
CHE,Switzerland,109,0.5706806282722513,0.07962035277652661,0.6945454545454546
CZE,Czechia,98,0.5130890052356021,0.031828397902391684,0.6678321678321678
ARE,United Arab Emirates,96,0.5026178010471205,0.05288618296597315,0.6518771331058021
NOR,Norway,86,0.4502617801047121,0.06632739448683082,0.6387959866220736
ITA,Italy,86,0.4502617801047121,0.008937413358570637,0.6409395973154363
LUX,Luxembourg,85,0.44502617801047123,0.026860720077334848,0.6366666666666667
ESP,Spain,85,0.44502617801047123,0.020452118638223164,0.6387959866220736
HUN,Hungary,83,0.43455497382198954,0.019732648352529886,0.6324503311258278
BEL,Belgium,83,0.43455497382198954,0.0112825510025777,0.6345514950166113
CAN,Canada,82,0.4293193717277487,0.015474020925812414,0.6324503311258278
CHN,China (People’s Republic of),82,0.4293193717277487,0.009333816226758832,0.6345514950166113
SGP,Singapore,81,0.42408376963350786,0.011953855828350598,0.6324503311258278
NLD,Netherlands,80,0.418848167539267,0.015724710244677163,0.6282894736842105
ZAF,South Africa,79,0.4136125654450262,0.05949026225265547,0.6282894736842105
PRT,Portugal,78,0.4083769633507854,0.0648127471325357,0.6201298701298701
DEU,Germany,78,0.4083769633507854,0.01914830030498538,0.6241830065359477
IND,India,77,0.40314136125654454,0.008888727898828476,0.6201298701298701
KOR,Korea,76,0.3979057591623037,0.007634211918776034,0.6221498371335505
JPN,Japan,75,0.39267015706806285,0.00678255351635657,0.6161290322580645
IRL,Ireland,75,0.39267015706806285,0.004845555974566512,0.6141479099678456
TUR,Türkiye,74,0.387434554973822,0.0038861712288996678,0.6161290322580645
POL,Poland,73,0.38219895287958117,0.0024297716464029263,0.6141479099678456
SWE,Sweden,72,0.3769633507853403,0.005670084565356768,0.6025236593059937
AUT,Austria,72,0.3769633507853403,0.003685252309725597,0.6121794871794872
HRV,Croatia,70,0.36649214659685864,0.006338193776055275,0.60062893081761
ROU,Romania,70,0.36649214659685864,0.0033487310319721695,0.60828025477707
FIN,Finland,70,0.36649214659685864,0.0021079766241375764,0.596875
MLT,Malta,68,0.356020942408377,0.009660933182913403,0.6025236593059937
SVK,Slovak Republic,65,0.3403141361256545,0.0017938320364426336,0.5987460815047022
SRB,Serbia,64,0.33507853403141363,0.0054796099145750276,0.5805471124620061
DNK,Denmark,64,0.33507853403141363,0.005050388089072135,0.5950155763239875
UKR,Ukraine,64,0.33507853403141363,0.0012259832047244563,0.5895061728395061
MYS,Malaysia,63,0.3298429319371728,0.007737443684319834,0.5876923076923077
LVA,Latvia,63,0.3298429319371728,0.004388964771999018,0.5840978593272171
BGR,Bulgaria,61,0.3193717277486911,0.0009737481537661196,0.5840978593272171
QAT,Qatar,60,0.31413612565445026,0.008674504616455737,0.5858895705521472
IDN,Indonesia,60,0.31413612565445026,0.0058700247748294816,0.5913312693498453
EST,Estonia,60,0.31413612565445026,0.0031069577557167327,0.5787878787878787
MEX,Mexico,59,0.3089005235602094,0.004488615281880972,0.5840978593272171
GEO,Georgia,59,0.3089005235602094,0.0032300945173119465,0.5770392749244713
ISR,Israel,58,0.30366492146596863,0.0013539794184563938,0.5805471124620061
GRC,Greece,58,0.30366492146596863,0.001247879190364754,0.5823170731707317
VNM,Viet Nam,57,0.2984293193717278,0.0036960485440251357,0.5823170731707317
USA,United States,57,0.2984293193717278,0.0014908423914800344,0.5805471124620061
SVN,Slovenia,57,0.2984293193717278,0.0007886177268430675,0.5735735735735735
MAR,Morocco,56,0.29319371727748694,0.005299662978429902,0.5753012048192772
TUN,Tunisia,55,0.2879581151832461,0.03433541727524482,0.5770392749244713
PAK,Pakistan,55,0.2879581151832461,0.0034257401376234127,0.5770392749244713
LTU,Lithuania,53,0.2774869109947644,0.0009399072474388816,0.5667655786350149
AZE,Azerbaijan,53,0.2774869109947644,0.0008721467069376613,0.5584795321637427
THA,Thailand,50,0.2617801047120419,0.000995860358030617,0.5617647058823529
SAU,Saudi Arabia,48,0.25130890052356025,0.002015009217350483,0.5568513119533528
AUS,Australia,46,0.24083769633507854,0.01276533765024666,0.5504322766570605
ISL,Iceland,46,0.24083769633507854,0.003664707504747263,0.5552325581395349
HKG,Hong Kong (China),46,0.24083769633507854,0.0034193010173142226,0.553623188405797
